Station Number,Station Name,Start Time,End Time,Precipitation
120800,BETOREN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120860,NIREZYONFIELDS,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120870,NIREZYON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120870,NIREZYON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120870,NIREZYON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120870,NIREZYON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120870,NIREZYON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120870,NIREZYON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120920,ATLIT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120920,ATLIT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120920,ATLIT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120920,ATLIT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120920,ATLIT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120920,ATLIT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121030,DALIYATALKARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121056,EN KARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121056,EN KARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121056,EN KARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121056,EN KARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121056,EN KARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121056,EN KARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121142,KEREMMAHARAL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121251,OFER,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121251,OFER,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121251,OFER,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121251,OFER,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121251,OFER,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121251,OFER,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121350,RAMATHASHOFET,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121360, FUREIDIS,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121360, FUREIDIS,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121360, FUREIDIS,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121360, FUREIDIS,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121360, FUREIDIS,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121360, FUREIDIS,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121450,RAMOTMENASHE,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121500,DALIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121500,DALIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121500,DALIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121500,DALIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121500,DALIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121500,DALIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121550,ENHASHOFET,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121550,ENHASHOFET,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121550,ENHASHOFET,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121550,ENHASHOFET,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121550,ENHASHOFET,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121550,ENHASHOFET,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121590,NAHALDALIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121630,MAYANZEVI,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121630,MAYANZEVI,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121630,MAYANZEVI,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121630,MAYANZEVI,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121630,MAYANZEVI,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121630,MAYANZEVI,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121705,ZIKHRONYAAQOV,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121801,AMMIQAM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121801,AMMIQAM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121801,AMMIQAM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121801,AMMIQAM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121801,AMMIQAM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121801,AMMIQAM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121852,GALED,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121852,GALED,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121852,GALED,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121852,GALED,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121852,GALED,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121852,GALED,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121900,REGAVIM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121900,REGAVIM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121900,REGAVIM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121900,REGAVIM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121900,REGAVIM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121900,REGAVIM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
121952,GIVATADA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
121952,GIVATADA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
121952,GIVATADA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
121952,GIVATADA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
121952,GIVATADA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
121952,GIVATADA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
122002,UMMALFAHM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
122002,UMMALFAHM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
122002,UMMALFAHM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
122002,UMMALFAHM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
122002,UMMALFAHM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
122002,UMMALFAHM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
122097,KEFARGLIKSON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
130011,BINYAMINA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
130011,BINYAMINA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
130011,BINYAMINA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
130011,BINYAMINA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
130011,BINYAMINA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
130011,BINYAMINA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
130020,BINYAMINA ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
130020,BINYAMINA ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
130020,BINYAMINA ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
130020,BINYAMINA ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
130020,BINYAMINA ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
130020,BINYAMINA ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
130502,KEFARPINES,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
130502,KEFARPINES,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
130502,KEFARPINES,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
130502,KEFARPINES,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
130502,KEFARPINES,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
130502,KEFARPINES,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
130550,BARQAY,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
130550,BARQAY,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
130550,BARQAY,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
130550,BARQAY,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
130550,BARQAY,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
130550,BARQAY,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
130850,GANSHOMERON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
130850,GANSHOMERON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
130850,GANSHOMERON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
130850,GANSHOMERON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
130850,GANSHOMERON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
130850,GANSHOMERON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131001,GANSHEMUEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131050,MEZER,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131050,MEZER,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131050,MEZER,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131050,MEZER,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131050,MEZER,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131050,MEZER,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131282,JATT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131282,JATT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131282,JATT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131282,JATT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131282,JATT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131282,JATT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131451,LAHAVOTHAVIVA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131502,KEFARHAROE,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131502,KEFARHAROE,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131502,KEFARHAROE,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131502,KEFARHAROE,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131502,KEFARHAROE,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131502,KEFARHAROE,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131598,ENHAHORESH,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131598,ENHAHORESH,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131598,ENHAHORESH,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131598,ENHAHORESH,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131598,ENHAHORESH,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131598,ENHAHORESH,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131640,NEURIM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131640,NEURIM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131640,NEURIM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131640,NEURIM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131640,NEURIM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
131640,NEURIM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
131752,MAGGAL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
131752,MAGGAL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
131752,MAGGAL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
131752,MAGGAL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
131752,MAGGAL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
