Station Number,Station Name,Start Time,End Time,Precipitation,Accumulated
110600,BETHAEMEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110600,BETHAEMEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110600,BETHAEMEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110600,BETHAEMEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110600,BETHAEMEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110695,AKKOMAN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110951,ENHAMIFRAZ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110973,YASUR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110973,YASUR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110973,YASUR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110973,YASUR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110973,YASUR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110973,YASUR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
111001,KEFARMASARYK,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
111040,ENAFEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
111145,AFEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
111145,AFEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
111145,AFEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
111145,AFEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
111145,AFEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
111145,AFEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
111699,USHA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
111699,USHA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
111699,USHA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
111699,USHA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
111699,USHA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
111699,USHA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
111800,KEFARHASIDIM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120180,HAIFAPORT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120570,HAYBAR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120570,HAYBAR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120570,HAYBAR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120570,HAYBAR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120570,HAYBAR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120570,HAYBAR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120629,HAIFAUNIVERSITY,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120750,YAGUR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120750,YAGUR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120750,YAGUR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120750,YAGUR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120750,YAGUR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120750,YAGUR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120770,PARKHAKARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120800,BETOREN,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120800,BETOREN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120800,BETOREN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120800,BETOREN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120800,BETOREN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120800,BETOREN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120860,NIREZYONFIELDS,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120870,NIREZYON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120870,NIREZYON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120870,NIREZYON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120870,NIREZYON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120870,NIREZYON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120870,NIREZYON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
120920,ATLIT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
120920,ATLIT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
120920,ATLIT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
120920,ATLIT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
120920,ATLIT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
120920,ATLIT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121030,DALIYATALKARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121056,EN KARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121142,KEREMMAHARAL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121251,OFER,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121251,OFER,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121251,OFER,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121251,OFER,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121251,OFER,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121251,OFER,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121350,RAMATHASHOFET,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121360, FUREIDIS,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121450,RAMOTMENASHE,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121500,DALIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121500,DALIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121500,DALIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121500,DALIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121500,DALIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121500,DALIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121550,ENHASHOFET,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121590,NAHALDALIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121630,MAYANZEVI,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121705,ZIKHRONYAAQOV,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121801,AMMIQAM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121852,GALED,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121852,GALED,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121852,GALED,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121852,GALED,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121852,GALED,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121852,GALED,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121900,REGAVIM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121900,REGAVIM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121900,REGAVIM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121900,REGAVIM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121900,REGAVIM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121900,REGAVIM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
121952,GIVATADA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
121952,GIVATADA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
121952,GIVATADA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
121952,GIVATADA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
121952,GIVATADA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
121952,GIVATADA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
122002,UMMALFAHM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
122097,KEFARGLIKSON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
130011,BINYAMINA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
130020,BINYAMINA ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
130502,KEFARPINES,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
130550,BARQAY,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
130550,BARQAY,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
130550,BARQAY,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
130550,BARQAY,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
130550,BARQAY,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
130550,BARQAY,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
130850,GANSHOMERON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
131001,GANSHEMUEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131050,MEZER,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131050,MEZER,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
131050,MEZER,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
131050,MEZER,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
131050,MEZER,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
131050,MEZER,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131282,JATT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131282,JATT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
131282,JATT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
131282,JATT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
131282,JATT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
131282,JATT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
131451,LAHAVOTHAVIVA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
131502,KEFARHAROE,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
131598,ENHAHORESH,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
131598,ENHAHORESH,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
